date,count
1420081200.0,287
1423796400.0,2
1424574000.0,20
1424660400.0,11755
1424746800.0,8615
1424833200.0,10766
1424919600.0,7037
1425006000.0,5215
1425092400.0,3666
1425178800.0,1706
1425265200.0,2431
1425351600.0,1794
1425438000.0,3404
1425524400.0,1944
1425610800.0,2749
1425697200.0,1757
1425783600.0,1466
1425870000.0,1031
1425956400.0,2248
1426042800.0,1182
1426129200.0,970
1426215600.0,1349
1426302000.0,1238
1426388400.0,834
1426474800.0,1267
1426561200.0,2021
1426647600.0,810
1426734000.0,395
1426820400.0,1686
1426906800.0,387
1426993200.0,1608
1427079600.0,1521
1427166000.0,36
1427252400.0,620
1427338800.0,607
1427425200.0,2880
1427511600.0,951
1427598000.0,266
1427684400.0,863
1427770800.0,1233
1427857200.0,663
1427943600.0,981
1428030000.0,739
1428116400.0,1386
1428202800.0,120
1428289200.0,517
1428375600.0,739
1428462000.0,1254
1428548400.0,1578
1428634800.0,370
1428721200.0,717
1428807600.0,559
1428894000.0,481
1428980400.0,994
1429066800.0,674
1429153200.0,349
1429239600.0,600
1429326000.0,422
1429412400.0,93
1429498800.0,524
1429585200.0,1007
1429671600.0,1301
1429758000.0,56
1429844400.0,816
1429930800.0,781
1430017200.0,428
1430103600.0,706
1430190000.0,306
1430276400.0,95
1430362800.0,8
1430449200.0,35
1430535600.0,6
1430622000.0,9
1430708400.0,28
1430794800.0,44
1430881200.0,11
1430967600.0,146
1431054000.0,243
1431140400.0,469
1431226800.0,564
1431313200.0,39
1431399600.0,31
1431486000.0,289
1431658800.0,6
1431745200.0,137
1431831600.0,296
1431918000.0,504
1432004400.0,434
1432090800.0,58
1432177200.0,102
1432263600.0,326
1432350000.0,2
1432436400.0,147
1432522800.0,195
1432609200.0,113
1432695600.0,201
1432782000.0,75
1432868400.0,259
1432954800.0,145
1433041200.0,422
1433127600.0,736
1433214000.0,198
1433300400.0,6125
1433386800.0,3723
1433473200.0,4030
1433559600.0,3527
1433646000.0,2863
1433732400.0,3288
1433818800.0,2334
1433905200.0,704
1433991600.0,530
1434078000.0,632
1434164400.0,849
1434250800.0,397
1434337200.0,686
1434423600.0,191
1434510000.0,83
1434596400.0,140
1434682800.0,40
1434769200.0,21
1434855600.0,79
1434942000.0,19
1435028400.0,235
1435114800.0,315
1435201200.0,120
1435287600.0,322
1435374000.0,362
1435460400.0,567
1435546800.0,562
1435633200.0,120
1435719600.0,547
1435806000.0,548
1435892400.0,437
1435978800.0,145
1436065200.0,129
1436151600.0,246
1436238000.0,592
1436324400.0,710
1436410800.0,205
1436497200.0,208
1436583600.0,473
1436670000.0,485
1436756400.0,545
1436842800.0,904
1436929200.0,313
1437015600.0,960
1437102000.0,670
1437188400.0,318
1437274800.0,303
1437361200.0,819
1437447600.0,946
1437534000.0,420
1437620400.0,2169
1437706800.0,671
1437793200.0,723
1437879600.0,671
1437966000.0,256
1438052400.0,190
1438138800.0,649
1438225200.0,401
1438311600.0,570
1438398000.0,1
1438916400.0,17
1439002800.0,266
1439089200.0,968
1439175600.0,49
1439262000.0,31
1439348400.0,295
1439434800.0,158
1439521200.0,72
1439607600.0,89
1439694000.0,92
1439866800.0,41
1439953200.0,242
1440039600.0,33
1440212400.0,259
1440298800.0,33
1440385200.0,160
1440471600.0,2
1440558000.0,55
1441076400.0,43
1441249200.0,33
1441335600.0,59
1441422000.0,23
1441508400.0,765
1441594800.0,112
1441940400.0,1
1442199600.0,2
1442545200.0,8
1443754800.0,140
1443927600.0,2
1444273200.0,66
1444359600.0,108
1444791600.0,312
1444878000.0,471
1444964400.0,173
1445050800.0,4
1445137200.0,141
1445223600.0,241
1445310000.0,43
1445396400.0,20
1445569200.0,24
1445655600.0,39
1445742000.0,55
1445828400.0,117
1445914800.0,260
1446001200.0,46
1446087600.0,13
1446174000.0,1
1446260400.0,203
1446346800.0,19
1446433200.0,16
1446519600.0,4
1446606000.0,481
1446692400.0,79
1446778800.0,194
1446865200.0,3
1446951600.0,70
1447038000.0,124
1447124400.0,121
1447210800.0,94
1447297200.0,164
1447383600.0,26
1447556400.0,26
1447642800.0,24
1447729200.0,62
1447815600.0,10
1447902000.0,106
1448074800.0,2
1448161200.0,41
1448334000.0,15
1448420400.0,107
1448679600.0,23
1448852400.0,4
1448938800.0,21
1449025200.0,11
1449111600.0,27
1449198000.0,6
1449284400.0,24
1449457200.0,33
1449630000.0,56
1449716400.0,206
1449802800.0,184
1449889200.0,24
1450062000.0,48
1450148400.0,20
1450234800.0,11
1450321200.0,44
1450407600.0,20
1450494000.0,177
1450580400.0,105
1450666800.0,97
1450753200.0,35
1450839600.0,9
1451444400.0,21
1451530800.0,5
1451617200.0,80
1451703600.0,5
1451876400.0,40
1451962800.0,20
1452135600.0,21
1452308400.0,143
1452481200.0,32
1452567600.0,145
1452654000.0,31
1452740400.0,84
1452826800.0,73
1453258800.0,82
1453345200.0,249
1453431600.0,20
1453518000.0,52
1453604400.0,26
1453690800.0,341
1453777200.0,196
1453863600.0,129
1453950000.0,248
1454036400.0,81
1454122800.0,123
1454209200.0,116
1454295600.0,137
1454382000.0,51
1454468400.0,209
1454554800.0,18
1454641200.0,95
1454727600.0,67
1454814000.0,21
1454900400.0,20
1454986800.0,35
1455073200.0,23
1455159600.0,61
1455246000.0,253
1455332400.0,217
1455418800.0,393
1455505200.0,59
1455678000.0,243
1455764400.0,301
1455850800.0,332
1455937200.0,240
1456023600.0,82
1456110000.0,128
1456196400.0,206
1456282800.0,190
1456369200.0,123
1456455600.0,203
1456542000.0,251
1456628400.0,91
1456714800.0,264
1456801200.0,103
1456887600.0,116
1456974000.0,50
1457060400.0,79
1457146800.0,118
1457233200.0,215
1457319600.0,127
1457406000.0,117
1457492400.0,57
1457578800.0,140
1457665200.0,216
1457751600.0,558
1457838000.0,552
1457924400.0,272
1458010800.0,280
1458097200.0,1203
1458183600.0,2374
1458270000.0,733
1458356400.0,9
1458442800.0,36
1458529200.0,45
1458615600.0,137
1458702000.0,10
1458788400.0,20
1458874800.0,168
1458961200.0,132
1459047600.0,20
1459134000.0,44
1459220400.0,43
1459306800.0,105
1459393200.0,328
1459479600.0,162
1459566000.0,37
1459652400.0,74
1459738800.0,139
1459825200.0,9
1459911600.0,62
1459998000.0,62
1460084400.0,56
1460170800.0,22
1460257200.0,41
1460343600.0,93
1460516400.0,3
1460602800.0,13
1460689200.0,6
1460775600.0,13
1460862000.0,35
1460948400.0,4
1461034800.0,1
1461207600.0,23
1461294000.0,1
1461380400.0,2
1461466800.0,75
1461553200.0,107
1461639600.0,37
1461726000.0,146
1461812400.0,1
1461898800.0,5
1462071600.0,15
1462158000.0,31
1462244400.0,20
1462330800.0,138
1462417200.0,63
1462503600.0,166
1462676400.0,47
1462762800.0,55
1462849200.0,65
1463022000.0,1
1463108400.0,24
1463281200.0,4
1463367600.0,4
1463540400.0,6
1463626800.0,143
1463799600.0,6
1463886000.0,21
1464145200.0,22
1464231600.0,6
1464577200.0,153
1464663600.0,20
1464922800.0,18
1465182000.0,13
1465527600.0,25
1465700400.0,3
1465873200.0,1
1465959600.0,21
1466046000.0,20
1466305200.0,1
1466564400.0,2
1466996400.0,1
1467255600.0,1
1467342000.0,49
1467428400.0,13
1467601200.0,40
1467860400.0,175
1467946800.0,141
1468033200.0,269
1468119600.0,21
1468292400.0,178
1468378800.0,438
1468551600.0,391
1468638000.0,40
1468724400.0,45
1468897200.0,20
1468983600.0,42
1469070000.0,84
1469156400.0,3
1469242800.0,158
1469329200.0,436
1469415600.0,70
1469674800.0,32
1469761200.0,69
1469847600.0,16
1469934000.0,34
1470106800.0,2
1470193200.0,20
1470798000.0,139
1470884400.0,123
1470970800.0,953
1471057200.0,123
1471143600.0,94
1471230000.0,703
1471316400.0,668
1471402800.0,174
1471489200.0,204
1471575600.0,155
1471748400.0,494
1471834800.0,303
1471921200.0,175
1472007600.0,120
1472094000.0,149
1472180400.0,182
1472266800.0,166
1472353200.0,268
1472439600.0,1097
1472526000.0,456
1472612400.0,376
1472698800.0,492
1472785200.0,189
1472871600.0,63
1472958000.0,183
1473044400.0,204
1473130800.0,181
1473217200.0,194
1473303600.0,200
1473390000.0,111
1473476400.0,525
1473562800.0,505
1473649200.0,429
1473735600.0,161
1473822000.0,176
1473908400.0,145
1473994800.0,380
1474081200.0,49
1474167600.0,1098
1474254000.0,734
1474340400.0,1185
1474426800.0,538
1474513200.0,102
1474599600.0,537
1474686000.0,876
1474772400.0,20
1474858800.0,178
1474945200.0,94
1475031600.0,430
1475118000.0,173
1475204400.0,46
1475290800.0,20
1475377200.0,60
1475463600.0,10
1475550000.0,21
1475636400.0,180
1475722800.0,230
1475809200.0,224
1475895600.0,44
1475982000.0,144
1476068400.0,173
1476154800.0,198
1476241200.0,120
1476327600.0,164
1476414000.0,40
1476500400.0,148
1476586800.0,175
1476673200.0,192
1476759600.0,438
1476846000.0,336
1476932400.0,935
1477018800.0,273
1477105200.0,165
1477191600.0,386
1477278000.0,242
1477364400.0,231
1477450800.0,387
1477537200.0,151
1477623600.0,91
1477710000.0,233
1477796400.0,248
1477882800.0,520
1477969200.0,114
