date,count
1420081200.0,2
1422759600.0,341
1425178800.0,283
1427857200.0,158
1430449200.0,71
1433127600.0,273
1435719600.0,102
1438398000.0,23
1441076400.0,5
1443668400.0,8
1446346800.0,13
1448938800.0,8
1451617200.0,11
1454295600.0,14
1456801200.0,58
1459479600.0,11
1462071600.0,10
1464750000.0,6
1467342000.0,17
1470020400.0,24
1472698800.0,23
1475290800.0,23
1477969200.0,25
1480561200.0,87
1483239600.0,385
1485918000.0,729
1488337200.0,1210
1491015600.0,774
1493607600.0,937
1496286000.0,1191
1498878000.0,1766
1501556400.0,1777
1504234800.0,1818
